instance,scenario,progress,scenario_seed,method,algorithm_seed_count,algorithm_seed_min,algorithm_seed_max,greedy_baseline_cost,route_cost_mean,route_cost_sample_sd,route_cost_median,route_cost_min,route_cost_max,route_cost_cv,online_time_ms_mean,online_time_ms_sample_sd,online_time_ms_median,online_time_ms_min,online_time_ms_max,online_time_ms_cv,paired_relative_reduction_percent
L-C,service_location_invalidation,0.5,1,dynamic_ails,10,1000,1009,77.5801213529253,77.04953896845167,0.26562684870963726,76.9426135304105,76.8760654239889,77.5801213529253,0.0034474813511655086,1211.97021,117.84614427333683,1177.3442,1061.9967,1410.0441,0.09723518226849556,0.6839153835038772
L-C,service_location_invalidation,0.5,1,global_replan,10,1000,1009,77.5801213529253,85.91147613705402,0.8655064031745769,86.3084207167536,83.8487254353149,86.4022807238828,0.010074397997699866,1517.41517,139.37126468580286,1474.1285,1383.58,1762.6838,0.09184781293955488,-10.73903293632135
L-C,service_location_invalidation,0.5,2,dynamic_ails,10,1000,1009,75.7747408276201,74.87317459875874,0.7745469567279484,74.6462984467662,74.1609364794829,75.7747408276201,0.010344785844579228,1200.8645000000001,163.67672103825748,1145.9467,1035.8268,1422.421,0.13629907540630726,1.1897978389821775
L-C,service_location_invalidation,0.5,2,global_replan,10,1000,1009,75.7747408276201,82.01380168677198,1.9929027732889932,82.49986562587566,77.3821249053414,84.058420985645,0.024299602412046567,1471.34648,113.44546507858891,1439.93315,1352.4283,1706.3875,0.07710316136997787,-8.23369475237812
L-U,new_task_arrival,0.5,0,dynamic_ails,10,1000,1009,133.23933946089,126.6064420835894,5.27038602077285,126.79716426673451,116.740687028254,133.239285841409,0.04162810307308993,1307.68331,206.16376747055807,1266.5480499999999,1045.7041,1726.0801,0.15765573047694406,4.97818242280281
L-U,new_task_arrival,0.5,0,global_replan,10,1000,1009,133.23933946089,130.6646549680466,6.374243060733891,127.870705920528,124.720823047375,138.5011680911,0.048783223453141795,1756.2478299999998,204.34577135231163,1735.583,1527.3119,2058.6538,0.11635360788022249,1.932375605628963
L-U,new_task_arrival,0.5,1,dynamic_ails,10,1000,1009,145.940067214283,135.2688958294933,7.537864145847478,133.158971342731,123.822055608099,145.790281443704,0.055725036414498205,1431.16077,263.08286445276366,1408.6888,1070.8464,1812.1108,0.18382481546972787,7.312023071170231
L-U,new_task_arrival,0.5,1,global_replan,10,1000,1009,145.940067214283,144.7130514284855,1.1095938591140206,145.22005724130798,142.458800793206,145.532756335749,0.007667545174129379,1836.8233800000003,208.08567208239975,1850.3132500000002,1482.0606,2114.8883,0.11328561817543924,0.8407669046745637
L-U,new_task_arrival,0.5,2,dynamic_ails,10,1000,1009,134.313147230877,132.2391185707613,1.7465065861385707,132.4835866199225,130.460222054314,133.895781062628,0.013207185627178944,1372.09893,200.3910601564188,1397.8446,1074.7491,1670.7619,0.1460470930885565,1.5441739717040301
L-U,new_task_arrival,0.5,2,global_replan,10,1000,1009,134.313147230877,132.7628610772222,1.720896424179794,133.828571092676,129.957027314028,133.828571092676,0.012962182422227447,1686.53534,173.42717669649124,1666.6848,1483.0958,2023.4838,0.10283044332559983,1.1542326165508965
L-U,robot_failure,0.5,0,dynamic_ails,10,1000,1009,182.963290461056,180.26909317250662,1.9106197374247333,180.9889507565995,176.994033296555,182.194834567011,0.010598709428223427,1247.5624400000002,165.5687169524364,1264.2623,1030.523,1506.7114,0.13271377178719518,1.4725343437802094
L-U,robot_failure,0.5,0,global_replan,10,1000,1009,182.963290461056,178.54312950681782,7.1140363310370445,183.71960675227,169.785184864553,184.204703945151,0.03984491786767627,1437.5955,63.25011446282134,1443.24705,1339.1065,1545.9525,0.04399715668477074,2.415873120285308
L-U,robot_failure,0.5,1,dynamic_ails,10,1000,1009,151.129621068929,149.7863064736355,1.679104751324591,150.19690532814502,146.305301289317,151.129621068929,0.011210001707466744,1182.60732,151.822311046754,1125.9366,1031.9131,1468.9161,0.12837930941164308,0.8888493108050719
L-U,robot_failure,0.5,1,global_replan,10,1000,1009,151.129621068929,133.0526240011735,1.2851690868948502,132.9891179722195,131.356735584988,134.59320773759,0.009659103655734856,1574.74233,138.97425164635555,1593.60715,1355.9286,1774.6731,0.08825205812963417,11.961253485516723
L-U,robot_failure,0.5,2,dynamic_ails,10,1000,1009,152.03154674147,148.04509398673719,0.32461029487630083,148.147744775112,147.121236891364,148.147744775112,0.002192644728270303,1198.28045,127.21041111324402,1149.6994,1031.5692,1457.2818,0.10616079993063729,2.622122079381193
L-U,robot_failure,0.5,2,global_replan,10,1000,1009,152.03154674147,172.6852923239052,1.8997918016887065,173.8448503933435,168.912820842449,173.980511957061,0.011001468487109334,1444.16557,73.2556602585925,1455.6100999999999,1339.2514,1556.1997,0.05072525047013308,-13.58517098925326
L-U,service_location_invalidation,0.5,0,dynamic_ails,10,1000,1009,103.937611622976,103.4168414230254,0.4575034790130769,103.555666222378,102.788431997549,103.937611622976,0.004423877897620797,1190.1150400000001,128.36753642625104,1179.071,1049.5425,1364.5809,0.10786145213848489,0.5010411455668574
L-U,service_location_invalidation,0.5,0,global_replan,10,1000,1009,103.937611622976,110.1610283788129,4.174419738710721,111.75100276097001,103.671147903267,115.07481367046,0.03789379783525678,1393.0221999999999,99.68174726665526,1340.94345,1303.0492,1575.1908,0.07155790285801279,-5.987646491639401
L-U,service_location_invalidation,0.5,1,dynamic_ails,10,1000,1009,100.866871063902,100.866871063902,0.0,100.866871063902,100.866871063902,100.866871063902,0.0,1186.3598299999999,144.98514583555755,1141.38285,1038.833,1464.661,0.12221009357300774,0.0
L-U,service_location_invalidation,0.5,1,global_replan,10,1000,1009,100.866871063902,116.1437842518947,1.4454495917207855,115.6851002303035,114.648344641489,118.806951847335,0.012445346094336557,1497.58912,107.25628294267688,1506.94015,1322.1963,1646.4964,0.07161929898547666,-15.145620189124683
L-U,service_location_invalidation,0.5,2,dynamic_ails,10,1000,1009,108.598974761992,107.819346676841,0.0,107.819346676841,107.819346676841,107.819346676841,0.0,1142.4189700000002,92.97491657443064,1092.2409,1066.0478,1287.8297,0.08138425482765804,0.7178963584689949
